id,senator_party,condition,pid7,pre_sexism_1,pre_sexism_2,pre_sexism_3,pre_sexism_4,pre_favorability,pre_vote,gender,age,newsinterest,post_favorability,post_vote,punishment_1,punishment_2,punishment_3,punishment_4,punishment_5,post_sexism_1,post_sexism_2,post_sexism_3,post_sexism_4
496,Republican,3,Independent,Agree strongly,Agree strongly,Agree strongly,Agree strongly,7,5,Woman,35-44,Some of the time,7,5,,,,,,Agree strongly,Agree strongly,Agree strongly,Agree strongly
497,Republican,1,Lean Republican,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,7,7,Man,25-34,Some of the time,5,6,Disagree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Neither disagree nor agree,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Agree somewhat
498,Democrat,3,Strong Republican,Agree somewhat,Agree strongly,Agree strongly,Agree somewhat,6,3,Woman,25-34,Don't know,5,8,,,,,,Disagree strongly,Disagree strongly,Disagree somewhat,Disagree somewhat
499,Republican,3,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,6,1,Woman,18-24,Most of the time,6,1,,,,,,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
500,Republican,3,Strong Democrat,Disagree strongly,Disagree strongly,Neither disagree nor agree,Disagree strongly,2,0,Woman,45-54,Most of the time,3,0,,,,,,Disagree strongly,Disagree strongly,Neither disagree nor agree,Disagree strongly
501,Democrat,2,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,9,10,Woman,25-34,Most of the time,2,1,Disagree somewhat,Agree strongly,Disagree strongly,Agree somewhat,Neither disagree nor agree,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
502,Republican,3,Lean Republican,Disagree somewhat,Neither disagree nor agree,Agree somewhat,Agree somewhat,7,7,Man,35-44,Only now and then,8,7,,,,,,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat
503,Democrat,2,Independent,Disagree strongly,Disagree strongly,Neither disagree nor agree,Disagree strongly,7,6,Woman,35-44,Only now and then,3,3,Disagree somewhat,Neither disagree nor agree,Disagree strongly,Neither disagree nor agree,Disagree strongly,Disagree strongly,Disagree strongly,Neither disagree nor agree,Disagree strongly
504,Republican,2,Not very strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,5,5,Woman,45-54,Most of the time,5,5,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Neither disagree nor agree,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
505,Democrat,2,Strong Republican,Disagree somewhat,Disagree somewhat,Agree strongly,Disagree strongly,8,1,Woman,45-54,Most of the time,0,0,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree somewhat,Disagree somewhat,Agree strongly,Disagree strongly
506,Republican,2,Strong Democrat,Agree somewhat,Agree strongly,Agree strongly,Agree somewhat,9,9,Man,25-34,Some of the time,7,9,Agree strongly,Agree somewhat,Agree somewhat,Agree strongly,Agree somewhat,Neither disagree nor agree,Agree strongly,Agree somewhat,Agree strongly
507,Democrat,3,Not very strong Democrat,Disagree strongly,Disagree somewhat,Agree somewhat,Disagree strongly,8,7,Woman,35-44,Most of the time,8,9,,,,,,Disagree strongly,Disagree somewhat,Agree somewhat,Disagree strongly
508,Democrat,3,Not very strong Republican,Agree somewhat,Disagree somewhat,Agree strongly,Disagree somewhat,8,5,Woman,55-64,Some of the time,8,5,,,,,,Agree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat
509,Democrat,2,Strong Democrat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,7,8,Man,25-34,Most of the time,5,6,Agree somewhat,Agree somewhat,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Agree strongly,Disagree somewhat
510,Democrat,3,Strong Republican,Agree strongly,Neither disagree nor agree,Agree somewhat,Agree somewhat,9,7,Man,25-34,Most of the time,9,7,,,,,,Agree somewhat,Neither disagree nor agree,Agree somewhat,Agree strongly
511,Democrat,2,Strong Democrat,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,9,10,Man,35-44,Most of the time,6,7,Disagree somewhat,Disagree somewhat,Disagree strongly,Disagree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat
512,Republican,1,Independent,Disagree strongly,Disagree somewhat,Agree strongly,Disagree strongly,7,4,Woman,25-34,Some of the time,6,4,Neither disagree nor agree,Disagree somewhat,Agree somewhat,Disagree strongly,Neither disagree nor agree,Disagree strongly,Disagree somewhat,Disagree strongly,Disagree strongly
513,Republican,3,Lean Republican,Agree somewhat,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,8,7,Man,35-44,Some of the time,6,6,,,,,,Neither disagree nor agree,Agree somewhat,Agree somewhat,Neither disagree nor agree
514,Republican,1,Strong Democrat,Neither disagree nor agree,Agree somewhat,Agree somewhat,Agree somewhat,8,5,Woman,25-34,Most of the time,6,7,Neither disagree nor agree,Agree somewhat,Agree somewhat,Neither disagree nor agree,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Neither disagree nor agree
515,Democrat,3,Strong Democrat,Disagree somewhat,Disagree strongly,Agree strongly,Disagree somewhat,8,8,Woman,25-34,Some of the time,8,8,,,,,,Disagree somewhat,Disagree strongly,Agree strongly,Disagree strongly
516,Democrat,2,Strong Democrat,Disagree somewhat,Neither disagree nor agree,Agree somewhat,Agree somewhat,9,10,Man,35-44,Most of the time,8,9,Agree somewhat,Disagree somewhat,Disagree strongly,Disagree strongly,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Agree somewhat,Agree somewhat
517,Republican,1,Lean Republican,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,7,7,Woman,55-64,Some of the time,2,2,Disagree strongly,Agree somewhat,Disagree strongly,Agree somewhat,Disagree somewhat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
518,Democrat,1,Independent,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,7,8,Man,45-54,Only now and then,5,4,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Disagree strongly,Disagree somewhat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
519,Democrat,3,Independent,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,5,5,Woman,45-54,Some of the time,5,5,,,,,,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree
520,Republican,1,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,10,10,Woman,25-34,Some of the time,1,5,Agree strongly,Disagree strongly,Agree strongly,Disagree somewhat,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
521,Republican,1,Independent,Neither disagree nor agree,Agree somewhat,Disagree somewhat,Agree somewhat,5,4,Man,35-44,Some of the time,5,4,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree somewhat,Agree somewhat,Agree strongly,Disagree somewhat,Agree somewhat
522,Democrat,2,Strong Republican,Agree somewhat,Agree strongly,Disagree somewhat,Agree somewhat,1,0,Man,45-54,Most of the time,0,0,Agree somewhat,Disagree strongly,Disagree strongly,Disagree strongly,Agree somewhat,Agree somewhat,Agree strongly,Disagree somewhat,Agree somewhat
523,Republican,1,Independent,Disagree somewhat,Disagree strongly,Agree strongly,Disagree somewhat,8,8,Man,55-64,Hardly at all,8,8,Disagree somewhat,Neither disagree nor agree,Agree somewhat,Disagree strongly,Disagree somewhat,Disagree strongly,Disagree strongly,Agree strongly,Disagree somewhat
524,Democrat,1,Independent,Agree somewhat,Agree strongly,Agree somewhat,Agree strongly,5,7,Woman,35-44,Some of the time,6,8,Agree somewhat,Agree strongly,Agree somewhat,Agree strongly,Agree somewhat,Agree somewhat,Agree strongly,Agree strongly,Agree somewhat
525,Republican,2,Strong Democrat,Disagree somewhat,Disagree strongly,Agree somewhat,Disagree somewhat,7,0,Man,65 or over,Most of the time,2,0,Disagree somewhat,Neither disagree nor agree,Disagree strongly,Disagree somewhat,Disagree strongly,Disagree strongly,Disagree strongly,Agree somewhat,Disagree somewhat
526,Democrat,1,Lean Democrat,Disagree somewhat,Agree somewhat,Disagree strongly,Agree somewhat,10,5,Man,25-34,Most of the time,0,0,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree somewhat,Disagree strongly,Agree somewhat
527,Democrat,3,Lean Democrat,Agree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,10,9,Man,25-34,Most of the time,10,9,,,,,,Agree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat
528,Republican,1,Independent,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Agree somewhat,5,5,Woman,18-24,Only now and then,3,3,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Agree somewhat
529,Democrat,1,Not very strong Republican,Agree strongly,Agree strongly,Disagree somewhat,Agree strongly,6,5,Woman,45-54,Most of the time,7,5,Agree somewhat,Disagree somewhat,Agree strongly,Disagree strongly,Disagree somewhat,Agree strongly,Agree strongly,Disagree somewhat,Agree strongly
530,Republican,2,Strong Republican,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,7,8,Man,65 or over,Some of the time,8,8,Agree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat
531,Democrat,1,Independent,Agree strongly,Agree somewhat,Agree strongly,Agree strongly,10,9,Man,25-34,Some of the time,9,10,Agree somewhat,Agree strongly,Agree somewhat,Agree strongly,Agree strongly,Agree somewhat,Agree somewhat,Agree strongly,Agree strongly
532,Republican,1,Lean Republican,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,6,7,Man,25-34,Some of the time,6,7,Agree strongly,Disagree strongly,Agree somewhat,Disagree strongly,Agree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat
533,Democrat,1,Independent,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,8,8,Woman,65 or over,Most of the time,8,8,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat
534,Republican,2,Strong Democrat,Disagree strongly,Disagree somewhat,Disagree strongly,Disagree somewhat,6,2,Man,25-34,Most of the time,3,0,Disagree somewhat,Agree strongly,Agree strongly,Agree somewhat,Agree strongly,Disagree strongly,Disagree somewhat,Disagree somewhat,Disagree somewhat
535,Democrat,3,Lean Republican,Agree strongly,Agree somewhat,Agree somewhat,Agree somewhat,10,8,Man,18-24,Only now and then,9,9,,,,,,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,Disagree somewhat
536,Republican,2,Not very strong Republican,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,8,8,Man,35-44,Most of the time,5,5,Agree somewhat,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat
537,Democrat,1,Not very strong Democrat,Disagree strongly,Disagree somewhat,Agree strongly,Disagree strongly,8,9,Man,35-44,Some of the time,6,6,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Disagree strongly,Disagree strongly,Disagree strongly,Disagree somewhat,Agree strongly,Disagree strongly
538,Democrat,3,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,9,9,Woman,25-34,Some of the time,9,9,,,,,,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
539,Democrat,1,Strong Republican,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Agree somewhat,6,5,Woman,18-24,Some of the time,5,5,Neither disagree nor agree,Disagree somewhat,Agree strongly,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree
540,Republican,3,Independent,Disagree strongly,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,5,5,Man,45-54,Some of the time,5,5,,,,,,Disagree strongly,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree
541,Democrat,3,Strong Republican,Agree strongly,Agree strongly,Agree somewhat,Agree somewhat,6,7,Man,45-54,Most of the time,7,7,,,,,,Agree strongly,Agree strongly,Agree somewhat,Agree somewhat
542,Democrat,3,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,7,8,Woman,55-64,Most of the time,7,8,,,,,,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
543,Republican,3,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,10,5,Woman,25-34,Most of the time,10,5,,,,,,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
544,Democrat,1,Strong Republican,Disagree somewhat,Disagree somewhat,Neither disagree nor agree,Neither disagree nor agree,4,1,Man,45-54,Most of the time,2,0,Agree somewhat,Disagree somewhat,Agree somewhat,Disagree strongly,Disagree somewhat,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree
545,Republican,2,Lean Republican,Disagree strongly,Disagree strongly,Neither disagree nor agree,Disagree strongly,9,9,Woman,35-44,Some of the time,8,8,Agree strongly,Neither disagree nor agree,Disagree strongly,Neither disagree nor agree,Agree strongly,Disagree strongly,Disagree strongly,Neither disagree nor agree,Disagree strongly
546,Republican,3,Strong Republican,Agree strongly,Agree strongly,Neither disagree nor agree,Agree strongly,10,9,Man,25-34,Some of the time,9,10,,,,,,Agree strongly,Agree strongly,Agree somewhat,Agree strongly
547,Democrat,2,Independent,Neither disagree nor agree,Neither disagree nor agree,Agree somewhat,Agree somewhat,0,0,Woman,65 or over,Only now and then,0,0,Agree somewhat,Disagree strongly,Neither disagree nor agree,Disagree strongly,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Agree somewhat,Agree somewhat
548,Republican,3,Strong Democrat,Agree somewhat,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,5,5,Woman,35-44,Some of the time,5,5,,,,,,Agree somewhat,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree
549,Republican,1,Not very strong Democrat,Disagree somewhat,Disagree strongly,Agree somewhat,Disagree somewhat,6,5,Woman,25-34,Most of the time,4,5,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Disagree strongly,Agree somewhat,Disagree somewhat
550,Republican,2,Lean Republican,Agree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,8,8,Man,45-54,Most of the time,6,5,Agree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat
551,Republican,2,Lean Democrat,Disagree somewhat,Disagree somewhat,Agree strongly,Disagree strongly,9,4,Woman,25-34,Most of the time,5,2,Disagree somewhat,Neither disagree nor agree,Disagree strongly,Disagree strongly,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Agree strongly,Disagree strongly
552,Republican,1,Not very strong Democrat,Disagree somewhat,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,7,6,Man,18-24,Some of the time,4,4,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Agree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Neither disagree nor agree
553,Democrat,1,Lean Republican,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,7,5,Woman,35-44,Most of the time,7,5,Neither disagree nor agree,Disagree strongly,Neither disagree nor agree,Disagree strongly,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree
554,Democrat,3,Strong Democrat,Neither disagree nor agree,Disagree somewhat,Agree somewhat,Disagree somewhat,8,8,Man,25-34,Some of the time,8,7,,,,,,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat
555,Republican,2,Lean Republican,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,8,8,Woman,25-34,Some of the time,5,7,Agree strongly,Neither disagree nor agree,Agree somewhat,Disagree strongly,Agree strongly,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat
